Model Name,Dataset,Criterion,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
EncDec_base,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
UNetDilated,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
UNetDeconv,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
